game_id,play_id,receiver_x,receiver_y,receiver_speed,receiver_acceleration,receiver_direction,receiver_orientation,passer_x,passer_y,passer_speed,ball_land_x,ball_land_y,dist_to_ball_land,dist_from_passer,num_defenders,closest_defender_dist,avg_defender_dist,defenders_within_5yds,defenders_within_10yds,speed_change,max_speed,avg_speed,direction_change,distance_covered,season,game_date,game_time_eastern,home_team_abbr,visitor_team_abbr,play_description,quarter,game_clock,down,yards_to_go,possession_team,defensive_team,yardline_side,yardline_number,pre_snap_home_score,pre_snap_visitor_score,play_nullified_by_penalty,pass_result,pass_length,offense_formation,receiver_alignment,route_of_targeted_receiver,play_action,dropback_type,dropback_distance,pass_location_type,defenders_in_the_box,team_coverage_man_zone,team_coverage_type,penalty_yards,pre_penalty_yards_gained,yards_gained,expected_points,expected_points_added,pre_snap_home_team_win_probability,pre_snap_visitor_team_win_probability,home_team_win_probability_added,visitor_team_win_probility_added,game_clock_seconds,yards_to_endzone,is_redzone,is_completion,week,is_two_minute_drill
2023090700,1588,67.76,38.8,8.82,2.72,103.16,96.82,44.43,25.94,2.25,88.6100006103516,33.1100006103516,21.612464424629163,26.63960397603538,7,1.0282509421342652,12.061959700934779,1,4,0.16000000000000014,8.82,8.760000000000002,8.72999999999999,3.5281155439543186,2023,09/07/2023,20:20:00,KC,DET,(1:54) (Shotgun) P.Mahomes pass incomplete deep left to R.James.,2,01:54,1,10,KC,DET,KC,43,7,7,N,I,38,SHOTGUN,2x2,POST,False,TRADITIONAL,4.59000015258789,INSIDE_BOX,6,ZONE_COVERAGE,COVER_4_ZONE,,0,0,1.92152504238766,-0.324034651275724,0.615035425871611,0.384964574128389,6.08861446380615e-05,-6.08861446380615e-05,114,57,False,0,1,True
2023090700,1618,55.85,37.48,2.57,4.98,161.69,189.14,45.61,24.62,0.91,54.1599998474121,33.3400001525879,4.4716550909388495,16.4388929067623,7,5.172639558291294,14.519057294516628,0,3,-0.06000000000000005,2.63,2.406,64.42,0.9405688120738633,2023,09/07/2023,20:20:00,KC,DET,(1:48) (Shotgun) P.Mahomes pass short left to R.Rice to KC 46 for 3 yards (B.Branch).,2,01:48,2,10,KC,DET,KC,43,7,7,N,C,3,SHOTGUN,3x1,IN,False,TRADITIONAL,2.48000001907349,INSIDE_BOX,6,ZONE_COVERAGE,COVER_4_ZONE,,3,3,1.59749039111193,-0.258355481317267,0.615096312016249,0.384903687983751,-0.0029947496950626,0.0029947496950626,108,57,False,1,1,True
2023090700,1679,62.91,20.46,9.26,1.65,89.13,59.8,35.7,30.35,1.09,76.4000015258789,25.6299991607666,14.446765468108861,28.95161826219736,7,4.213798761212971,12.125736433860059,1,3,0.129999999999999,9.29,9.219999999999999,4.02000000000001,3.71146510700656,2023,09/07/2023,20:20:00,KC,DET,(1:07) (Shotgun) P.Mahomes pass deep middle to M.Valdes-Scantling to DET 30 for 34 yards (J.Jacobs).,2,01:07,3,17,KC,DET,KC,36,7,7,N,C,33,SHOTGUN,3x1,GO,False,TRADITIONAL,5.34999990463257,INSIDE_BOX,6,ZONE_COVERAGE,COVER_2_ZONE,,34,34,0.500720644253306,2.95163134561153,0.568689335137606,0.431310664862394,0.0944976173341274,-0.0944976173341274,67,64,False,1,1,True
2023090700,1711,91.35,42.43,7.94,2.78,76.77,43.59,70.13,27.91,1.71,100.569999694824,50.0,11.92951358491011,25.712230552793354,7,3.636660556059634,16.76119405643271,1,2,0.27000000000000046,7.94,7.806,10.52000000000001,3.1384281498085733,2023,09/07/2023,20:20:00,KC,DET,"(:45) (No Huddle, Shotgun) P.Mahomes pass deep left to Ju.Watson pushed ob at DET 4 for 26 yards (C.Gardner-Johnson).",2,00:45,1,10,KC,DET,DET,30,7,7,N,C,23,SHOTGUN,3x1,CORNER,False,TRADITIONAL,5.3600001335144,INSIDE_BOX,5,ZONE_COVERAGE,COVER_2_ZONE,,26,26,3.45235198986484,2.34294713230338,0.663186952471733,0.336813047528267,0.0418428108096123,-0.0418428108096123,45,30,False,1,1,True
2023090700,1741,109.76,20.33,2.03,4.45,101.27,340.39,98.27,29.46,0.54,107.610000610352,21.5699996948242,2.4819541935037592,14.67572826131638,7,3.412989891576004,11.145838797337207,1,4,-2.03,4.06,3.0539999999999994,5.689999999999998,1.1991440926505017,2023,09/07/2023,20:20:00,KC,DET,"(:37) (Shotgun) P.Mahomes pass short right to B.Bell for 4 yards, TOUCHDOWN.",2,00:37,1,4,KC,DET,DET,4,7,7,N,C,4,EMPTY,4x1,HITCH,False,TRADITIONAL,3.44000005722046,INSIDE_BOX,9,MAN_COVERAGE,COVER_0_MAN,,4,4,5.79529912216822,1.20470087783178,0.705029763281345,0.294970236718655,0.04821902140975,-0.04821902140975,37,4,True,1,1,True
2023090700,1812,80.62,43.23,3.43,5.19,216.33,163.58,91.94,29.71,0.52,82.2399978637695,39.2099990844727,4.334143564703187,17.63328670441219,7,1.9208331525668756,16.942948290612353,1,2,-0.3999999999999999,3.83,3.4880000000000004,41.28999999999999,1.3672475439984302,2023,09/07/2023,20:20:00,KC,DET,(:34) (Shotgun) J.Goff pass short right to S.LaPorta to DET 30 for 5 yards (F.Anudike-Uzomah).,2,00:34,1,10,DET,KC,DET,25,14,7,N,C,5,SHOTGUN,2x2,IN,False,TRADITIONAL,2.47000002861023,INSIDE_BOX,5,ZONE_COVERAGE,COVER_2_ZONE,,5,5,0.661885745124891,-0.309704902116209,0.753248784691095,0.246751215308905,-0.0012734793126583,0.0012734793126583,34,75,False,1,1,True
2023090700,1837,77.11,25.99,7.45,1.6,189.29,130.14,89.06,29.45,0.73,78.0100021362305,20.8400001525879,5.228049566861822,12.440823927698682,7,4.601934375890205,14.032969988670342,1,1,0.4400000000000004,7.45,7.248,6.480000000000018,2.92071981265343,2023,09/07/2023,20:20:00,KC,DET,(:29) (Shotgun) J.Goff pass short left to S.LaPorta to DET 34 for 4 yards (T.McDuffie).,2,00:29,2,5,DET,KC,DET,30,14,7,N,C,3,SHOTGUN,3x1,CROSS,False,TRADITIONAL,4.30000019073486,INSIDE_BOX,5,ZONE_COVERAGE,COVER_2_ZONE,,4,4,0.352180843008682,-0.0875965987797827,0.751975305378437,0.248024694621563,0.0206857211887836,-0.0206857211887836,29,70,False,1,1,True
2023090700,1869,70.46,34.64,2.27,4.19,191.75,139.67,83.74,23.83,0.36,72.0299987792969,31.0799999237061,3.8908221123827236,17.12350723420877,8,3.7571931012392707,12.994672970236577,1,4,-0.009999999999999787,2.28,2.0759999999999996,55.72,0.8262288416580059,2023,09/07/2023,20:20:00,KC,DET,"(:22) (Shotgun) J.Goff pass short middle to J.Reynolds to DET 42 for 8 yards (M.Edwards, B.Cook).",2,00:22,3,1,DET,KC,DET,34,14,7,N,C,6,SHOTGUN,2x2,HITCH,False,TRADITIONAL,2.94000005722046,INSIDE_BOX,4,MAN_COVERAGE,COVER_1_MAN,,8,8,0.264584244228899,0.0911143853445537,0.772661026567221,0.227338973432779,-0.0037296488881111,0.0037296488881111,22,66,False,1,1,True
2023090700,1940,54.88,38.48,7.25,4.26,320.95,31.05,76.68,27.6,1.94,52.9799995422363,48.5,10.198549001671871,24.364203249849975,7,4.303591523367432,13.18542284667789,1,3,0.1299999999999999,7.25,7.192,19.21999999999997,2.890672349819288,2023,09/07/2023,20:20:00,KC,DET,(:09) (Shotgun) J.Goff pass incomplete deep right to M.Jones.,2,00:09,2,10,DET,KC,DET,42,14,7,N,I,18,SHOTGUN,3x1,OUT,False,TRADITIONAL,4.44000005722046,INSIDE_BOX,6,ZONE_COVERAGE,COVER_2_ZONE,,0,0,0.281890904938336,-0.0819641283596866,0.771993696689606,0.228006303310394,0.0007912814617156,-0.0007912814617156,9,58,False,0,1,True
2023091000,1697,32.23,50.12,7.4,4.78,75.79,77.36,19.47,30.25,1.08,42.0200004577637,52.439998626709,10.061138235356136,23.614285930343097,7,1.8529975715040734,23.10516279993646,1,1,0.9100000000000001,7.4,6.95,22.10000000000001,2.8182062108406134,2023,09/10/2023,13:00:00,ATL,CAR,(1:48) (Shotgun) B.Young pass incomplete deep left to T.Marshall [D.Onyemata].,2,01:48,1,10,CAR,ATL,CAR,17,7,7,N,I,16,SHOTGUN,3x1,GO,False,TRADITIONAL,2.05999994277954,INSIDE_BOX,6,ZONE_COVERAGE,COVER_4_ZONE,,0,0,0.703925101552159,-0.29715991509147,0.548371646553278,0.451628353446722,0.0214444287121296,-0.0214444287121296,108,83,False,0,1,True
2023091000,1720,34.83,5.79,6.64,2.83,101.24,58.29,18.41,29.72,0.6,37.8199996948242,0.469999998807907,6.102663204514294,29.02173840416869,7,0.6378871373526822,20.591027002063395,1,1,-0.5300000000000002,7.23,7.0,7.280000000000001,2.81316029534355,2023,09/10/2023,13:00:00,ATL,CAR,(1:44) (Shotgun) B.Young pass incomplete short right to J.Mingo.,2,01:44,2,10,CAR,ATL,CAR,17,7,7,N,I,11,SHOTGUN,3x1,HITCH,False,TRADITIONAL,3.27999997138977,INSIDE_BOX,6,ZONE_COVERAGE,COVER_4_ZONE,,0,0,0.406765186460689,-0.397923685377464,0.569816075265408,0.430183924734592,0.0108163841068745,-0.0108163841068745,104,83,False,0,1,True
2023091000,1743,37.81,17.65,6.41,3.03,76.23,71.16,17.22,29.19,1.85,39.5099983215332,22.2900009155273,4.941619450069977,23.603383232070783,7,0.4767598976424085,12.304055422186421,1,3,-0.6899999999999995,7.1,6.843999999999999,4.989999999999995,2.7281236455547484,2023,09/10/2023,13:00:00,ATL,CAR,(1:39) (Shotgun) B.Young pass incomplete deep middle to J.Mingo.,2,01:39,3,10,CAR,ATL,CAR,17,7,7,N,I,16,SHOTGUN,3x1,IN,False,TRADITIONAL,4.1399998664856,INSIDE_BOX,6,ZONE_COVERAGE,COVER_2_ZONE,,0,0,0.008841501083225,-0.813424090854824,0.580632459372282,0.419367540627718,0.0326964035630226,-0.0326964035630226,99,83,False,0,1,True
2023091000,1837,81.23,17.27,5.55,0.58,196.27,283.11,84.78,22.91,1.77,80.7200012207031,15.3199996948242,2.015589230242623,6.664240391822611,7,13.049800764762654,20.2650295038675,0,0,0.6799999999999997,5.55,5.224,1.2900000000000205,2.1131523962519916,2023,09/10/2023,13:00:00,ATL,CAR,"(:41) (No Huddle, Shotgun) D.Ridder pass short left to B.Robinson to ATL 39 for 7 yards (C.Henderson).",2,00:41,3,6,ATL,CAR,ATL,32,7,7,N,C,-2,SHOTGUN,2x2,FLAT,False,TRADITIONAL,2.16000008583069,INSIDE_BOX,6,ZONE_COVERAGE,COVER_3_ZONE,,7,7,0.598729841411114,0.805549316690303,0.575240559875965,0.424759440124035,0.0293741449713707,-0.0293741449713707,41,68,False,1,1,True
2023091000,4107,65.56,39.7,7.45,0.24,34.07,330.89,59.61,30.6,1.82,67.8499984741211,43.3800010681152,4.334339727433224,10.87255719690635,7,2.82347303865293,17.719855440130694,1,2,0.5499999999999998,7.45,7.208,2.120000000000001,2.9011801278401537,2023,09/10/2023,13:00:00,ATL,CAR,(1:52) (Shotgun) B.Young pass short left to M.Sanders to ATL 38 for 5 yards (K.Elliss).,4,01:52,1,10,CAR,ATL,ATL,43,24,10,N,C,4,SHOTGUN,2x2,FLAT,False,TRADITIONAL,2.3199999332428,INSIDE_BOX,5,MAN_COVERAGE,COVER_2_MAN,,5,5,2.52240091573913,0.147385869524442,0.996524330694228,0.0034756693057715,0.0001072648447006,-0.0001072648447006,112,43,False,1,1,True
2023091000,4155,73.83,19.76,4.94,2.53,45.68,6.39,63.11,29.88,0.79,75.3399963378906,24.4799995422363,4.955651785502477,14.74221150302762,6,1.8760063965775813,12.549133722593957,1,2,1.3900000000000006,4.94,4.282,13.439999999999998,1.7215745365407593,2023,09/10/2023,13:00:00,ATL,CAR,(1:23) (Shotgun) B.Young pass short middle to A.Thielen to ATL 29 for 9 yards (R.Grant).,4,01:23,3,5,CAR,ATL,ATL,38,24,10,N,C,6,SHOTGUN,3x1,SLANT,False,TRADITIONAL,3.21000003814697,INSIDE_BOX,5,MAN_COVERAGE,COVER_1_MAN,,9,9,2.24745006707963,1.03782047051936,0.99667887610849,0.00332112389151,-0.0010271245846524,0.0010271245846524,83,38,False,1,1,True
